trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,
0,2,10,9.9580382,10.4677815,10.4677815,10.4856604,10.7695399,right,10,1,1,3.3647297,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
1,1,8,13.8523489,14.352378,14.352378,14.352378,14.6528305,left,-8,0,0,37.0242414,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
2,1,9,51.4030204,51.8866198,51.8866198,51.9038728,52.1862953,left,-9,0,0,9.5922967,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
3,1,10,61.5031046,62.0030291,62.0030291,62.0030291,62.3031714,right,10,1,1,0.5547119,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
4,1,10,62.587424,63.0864898,63.0864898,63.0864898,63.3867186,left,-10,1,1,5.5793749,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
5,1,9,68.6861538,69.1860468,69.1860468,69.1860468,69.4863207,left,-9,1,1,1.8551334,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
6,1,9,71.0692904,71.569301,71.569301,71.569301,71.8693593,right,9,1,1,1.1905457,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
7,1,8,72.7859731,73.2693648,73.2693648,73.2861769,73.5695837,left,-8,1,1,10.1500661,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
8,1,8,83.4367238,83.9363402,83.9363402,83.9363402,84.2363976,left,-8,1,1,0.7724502,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
9,1,7,84.7511716,85.2528766,85.2528766,85.2528766,85.5532739,left,-7,1,1,2.2564038,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
10,1,7,87.5364987,88.0194531,88.0194531,88.0361157,88.3194255,right,7,1,1,0.6228091,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
11,1,6,88.6696735,89.1527267,89.1527267,89.1696108,89.452736,right,6,1,1,2.6025873,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,0.375
12,1,6,91.7863205,92.2695749,92.2695749,92.2863691,92.5696725,right,6,1,1,0.5900069,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
13,1,5,92.8863781,93.3697123,93.3697123,93.3864195,93.6703102,right,5,1,1,0.5761023,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
14,1,5,93.969289,94.453029,94.453029,94.4696563,94.7530841,right,5,1,1,0.5366775,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
15,1,4,95.0195913,95.5028431,95.5028431,95.5196082,95.803207,right,4,1,1,0.4835002,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
16,1,4,96.0028056,96.5029274,96.5029274,96.5029274,96.803151,right,4,1,1,0.5392605,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
17,1,3,97.0696316,97.5531933,97.5531933,97.5697567,97.8529604,right,3,1,1,0.6387826,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
18,1,3,98.219424,98.7029817,98.7029817,98.7196559,99.0027177,left,-3,1,1,3.3386154,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
19,1,2,102.0695759,102.5527605,102.5527605,102.5696708,102.8530452,right,2,1,1,2.7228845,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
20,1,2,105.3028355,105.786535,105.786535,105.8031379,106.0867717,left,-2,1,1,2.5708663,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
21,1,1,108.3868757,108.8695978,108.8695978,108.8863022,109.1696752,left,-1,1,1,0.9417602,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
22,1,1,109.8364376,110.3359545,110.3359545,110.3359545,110.6363505,left,-1,1,1,0.8020708,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
23,1,1,111.1559599,111.6397294,111.6397294,111.6577356,111.9429411,left,-1,1,1,0.6365083,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
24,1,1,112.3073698,112.8068967,112.8068967,112.823092,113.1042288,right,1,1,1,1.3382123,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
25,1,1,114.1737311,114.6708196,114.6708196,114.6879528,114.972,left,-1,1,1,0.6452488,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
26,0.5,1,115.3372643,115.8373296,115.8373296,115.8373296,116.1371933,right,1,0,0,1.3335245,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
27,0.5,1.5,117.2027836,117.6864638,117.6864638,117.7032482,117.9863441,right,1.5,1,1,0.6196567,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
28,0.5,1.5,118.3367912,118.8361663,118.8361663,118.8361663,119.1384634,right,1.5,1,1,0.6252182,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
29,0.5,1,119.4882778,119.9881891,119.9881891,120.0031287,120.3032005,left,-1,1,1,0.5717819,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
30,0.5,1,120.5862338,121.0701522,121.0701522,121.0873217,121.3716034,left,-1,1,1,0.5850321,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
31,0.5,1,121.6885595,122.1703195,122.1703195,122.204285,122.4701295,right,1,1,1,0.9005622,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
32,0.5,1,123.0864626,123.5865505,123.5865505,123.5865505,123.8864014,left,-1,1,1,0.6424035,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
33,0.5,1,124.2531616,124.7532977,124.7532977,124.7532977,125.0541528,right,1,1,1,0.5334917,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
34,0.5,1,125.3043907,125.8031871,125.8031871,125.8198396,126.1048176,left,-1,1,1,0.5188189,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
35,0.5,1,126.3543189,126.8360805,126.8360805,126.8696081,127.1361653,right,1,1,1,0.5478594,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
36,0.5,1,127.4029583,127.8863339,127.8863339,127.9029053,128.1864756,right,1,1,1,0.5694275,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
37,0.5,1,128.4862935,128.9698196,128.9698196,128.9867785,129.2700637,left,-1,1,1,0.5726475,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
38,0.5,1,129.5703966,130.0712384,130.0712384,130.0712384,130.3754199,right,1,1,1,0.5453836,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
39,0.5,1,130.6372405,131.1366657,131.1366657,131.1366657,131.4365091,right,1,1,1,0.6597812,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
40,0.5,1,131.8206543,132.3036693,132.3036693,132.3208252,132.6036231,right,1,1,1,0.6090517,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
41,0.5,1,132.9370333,133.4372806,133.4372806,133.4372806,133.7367545,left,-1,1,1,0.6225098,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
42,0.5,1,134.0883699,134.5711626,134.5711626,134.5869258,134.8874667,right,1,1,1,0.6799028,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
43,0.5,1,135.2701634,135.7699336,135.7699336,135.7699336,136.0702957,right,1,1,1,0.5925653,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
44,0.5,1,136.3864808,136.8702419,136.8702419,136.8870059,137.170123,right,1,1,1,0.587459,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
45,0.5,1,137.4866656,137.9700812,137.9700812,137.9876019,138.2699946,left,-1,1,1,0.848876,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
